t,tau,R_eff,rho,alpha,beta_scaled,beta,beta_glass_gauss,beta_glass_exact,beta_inf_gauss,beta_inf_exact,entropy_density,free_energy,mean_energy_density,theory_entropy_density_liquid
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.1,69.02303212092534,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.06539636551031235,0.0025805672024885227,0.003528024355569552,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.2285714285714286,77.09065925194258,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.05810981759854864,0.0026743051452889723,0.0034280905994856733,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.3571428571428572,85.15828638295983,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.051620055037077874,0.002741776040880619,0.003347942008158785,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.4857142857142858,93.22591351397706,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.04595796589669867,0.0027913736355657487,0.003284347790115689,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.6142857142857143,101.29354064499431,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.04107660992163807,0.002828556764051476,0.0032340772904352875,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.742857142857143,109.36116777601157,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.03689086747908219,0.0028569476326111664,0.0031942782247153063,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,1.8714285714285717,117.42879490702882,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.03330423762972566,0.0028789943074598993,0.0031626064969241053,0.0
0.85,0.1668100537200059,0.0058960923603817795,0.07678601669823601,0.11876410093034503,2.0,125.49642203804605,62.748211019023024,107.23852273217706,4.818185179091139,8.23441899720711,0.030223580582297616,0.0028963808610052433,0.0031372130703341667,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.2,5.515855990005061,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.1157147675673496,-0.009813897104967294,0.011164672273390141,0.11401353689313123
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.3285714285714286,9.061763412151173,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.11112676694383279,-0.0017309876245282217,0.01053227305548686,0.10594242554419145
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.4571428571428572,12.607670834297284,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.10504149085131871,0.0016372852899162738,0.009968839328079217,0.09394482759306476
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.5857142857142859,16.153578256443396,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.0978570993842517,0.003410099498735866,0.009468020402125684,0.07802074303975112
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.7142857142857144,19.699485678589507,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.08993386149626688,0.00445981952830149,0.00902510935178211,0.0581701718842506
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.842857142857143,23.24539310073562,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.08163141167695424,0.005125971642326296,0.008637695936391727,0.034393114126563165
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,0.9714285714285715,26.79130052288173,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.07333015543693108,0.005568153029111527,0.008305241337844497,0.006689569766688797
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.1,30.33720794502784,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.06539636551031243,0.005871290898962397,0.00802693968604963,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.2285714285714286,33.88311536717395,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.05810981759854852,0.006084562899753931,0.00779957100833079,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.3571428571428572,37.42902278932006,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.05162005503707795,0.006238072273526515,0.007617217417861065,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.4857142857142858,40.97493021146617,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.04595796589669863,0.006350916421124923,0.007472528237411508,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.6142857142857143,44.52083763361228,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.04107660992163806,0.006435515250274837,0.007358153100435726,0.0
0.85,0.5994842503189409,0.030521166511655137,0.1747030810021825,0.11876410093034503,1.742857142857143,48.066745055758396,27.579279950025306,47.13379380587021,4.818185179091139,8.23441899720711,0.036890867479082136,0.006500109982792325,0.007267602506704396,0.0
