alpha,beta_lambda_proxy,beta_z_theory,in_search_window,lambda_between_top,lambda_class_proxy,routeability_proxy,sigma2,snr_proxy,t,v_z
0.2087574301982243,0.26490404044303506,30.44481681694583,0.0,12.778247833251953,0.008701121180521847,0.014034830128609028,0.9564203353370335,0.5298080808860701,1.5665823221206665,1.0510820345021272
0.20102945551227666,0.2465247686308454,30.552716773440626,0.0,12.778247833251953,0.008068832976750158,0.012154892309698368,0.9595871580164376,0.49304953726169076,1.6043038368225098,1.0473700338104628
0.19358756210587888,0.2293642673619449,30.65346164294711,0.0,12.778247833251953,0.007482491538267036,0.010521593428496347,0.9625238557979025,0.45872853472388986,1.642025351524353,1.0439277747073863
0.18642115955892286,0.21334933205242584,30.74748119066488,0.0,12.778247833251953,0.0069387580312497265,0.009103587497443248,0.9652471512687066,0.4266986641048517,1.6797468662261963,1.040735655762118
0.17952004949721923,0.1984101184680169,30.83518545404898,0.0,12.778247833251953,0.0064345362463829,0.007873315022098499,0.967772551828516,0.3968202369360338,1.7174683809280396,1.0377754999296775
0.17287441107938062,0.18448013658143275,30.916964778871787,0.0,12.778247833251953,0.005966954967956746,0.006806584158620815,0.9701144379939574,0.3689602731628655,1.7551898956298828,1.0350304510444164
0.1664747870209651,0.17149621827325523,30.99319000884282,0.0,12.778247833251953,0.005533351624157591,0.005882190576405598,0.9722861452863243,0.34299243654651046,1.792911410331726,1.0324848778350961
0.1603120701359903,0.15939846329121132,31.06421280286785,0.0,12.778247833251953,0.005131257125450018,0.005081574019919927,0.9743000401687133,0.31879692658242265,1.8306329250335693,1.0301242849149475
0.15437749037666668,0.14813016741857357,31.13036605675366,0.0,12.778247833251953,0.004758381804714984,0.004388509299890926,0.9761675904650022,0.29626033483714714,1.8683544397354126,1.0279352302398537
0.14866260235290546,0.1376377363583887,31.191964408771486,0.0,12.778247833251953,0.004412602379082082,0.0037888292939722607,0.977899430661662,0.2752754727167774,1.9060759544372559,1.0259052485646363
0.14315927331384104,0.12787058842164123,31.249304810949678,0.0,12.778247833251953,0.0040919498592120905,0.003270177476659354,0.979505422464253,0.25574117684328246,1.9437974691390991,1.0240227804615762
0.13785967157426457,0.11878104871768576,31.302667150254337,0.0,12.778247833251953,0.0037945983371810107,0.002821787506894646,0.9809947109534359,0.2375620974353715,1.9815189838409424,1.0222771064969778
0.1327562395437204,0.11032421141528294,31.352315057219162,0.0,12.778247833251953,0.0035188537501596637,0.002434286324880809,0.9823757808622103,0.22064842283056588,2.019240617752075,1.020658281265635
0.12784176212285073,0.10245795248266817,31.398495831151838,0.0,12.778247833251953,0.0032631484334040965,0.002099526405388138,0.9836564838573244,0.20491590496533635,2.056962013244629,1.0191571014128449
0.12310918343461918,0.09514253114400983,31.441442779880173,0.0,12.778247833251953,0.0030260230680283187,0.0018104202464977763,0.9848441289540613,0.19028506228801967,2.0946836471557617,1.0177649996544451
0.11855182850824762,0.08834083949987409,31.481373754294864,0.0,12.778247833251953,0.0028061303864740698,0.0015608207847085023,0.985945463957351,0.17668167899974818,2.1324050426483154,1.0164740665306697
0.11416315419922284,0.08201791223605118,31.518494026722298,0.0,12.778247833251953,0.0026022154537749804,0.0013453875855121184,0.9869667742232845,0.16403582447210235,2.1701266765594482,1.0152769346425456
0.10993697058980709,0.07614115350915734,31.552994958937777,0.0,12.778247833251953,0.002413119693019487,0.001159495051541013,0.9879138624975359,0.1522823070183147,2.207848072052002,1.0141668022843455
0.10586721000905033,0.07067990025668608,31.585056565859436,0.0,12.778247833251953,0.002237763928309206,0.0009991296600590184,0.9887921338448996,0.14135980051337216,2.2455697059631348,1.0131373338931766
0.10194813234469241,0.06560560694601897,31.614846430934485,0.0,12.778247833251953,0.0020751518464383624,0.0008608191325511066,0.9896065783114291,0.13121121389203794,2.2832911014556885,1.012182680371607
0.09817411084789969,0.06089145850599682,31.642521978517987,0.0,12.778247833251953,0.0019243554147591602,0.0007415539437975066,0.9903618439592243,0.12178291701199365,2.3210127353668213,1.0112973934797203
0.09453982252567687,0.05651252123214054,31.668229587947277,0.0,12.778247833251953,0.0017845178580380395,0.0006387330112026266,0.9910622219568135,0.11302504246428108,2.358734130859375,1.0104764433114692
0.09104004951062518,0.05244540113593321,31.69210659928507,0.0,12.778247833251953,0.0016548411186120492,0.000550104020061789,0.9917117093851029,0.10489080227186641,2.396455764770508,1.0097151446764943
0.08766985561802491,0.0486683676212234,31.714280587247213,0.0,12.778247833251953,0.0015345884163235183,0.0004737220013829094,0.9923139964159147,0.0973367352424468,2.4341771602630615,1.0090091721288383
0.08442440214954491,0.04516105301142896,31.73487112520092,0.0,12.778247833251953,0.0014230734649357437,0.00040790414182021947,0.9928725203216919,0.09032210602285792,2.4718987941741943,1.0083544966593085
0.08129911162037382,0.04190455426733229,31.7539891880058,0.0,12.778247833251953,0.0013196626735377422,0.0003511983336687591,0.993390454449738,0.08380910853466458,2.509620189666748,1.007747398619356
0.07828949694800247,0.03888116955304482,31.771738698567052,0.0,12.778247833251953,0.0012237658732475478,0.00030234906916252357,0.9938707546676288,0.07776233910608962,2.547341823577881,1.0071844132799457
0.0753913132817237,0.03607448219374509,31.788216034941286,0.0,12.778247833251953,0.0011348382103007096,0.0002602736531093662,0.994316149881657,0.07214896438749017,2.5850632190704346,1.0066623419453902
0.07260039960382862,0.03346913033563592,31.803511382603386,0.0,12.778247833251953,0.0010523721715188857,0.0002240365370847569,0.9947291819773644,0.06693826067127184,2.6227848529815674,1.0061782051369363
0.06991281952604532,0.031050876491519407,31.817708326162407,0.0,12.778247833251953,0.0009758992122631137,0.00019283138617831832,0.9951121976659186,0.06210175298303881,2.660506248474121,1.0057292521500583
0.0673247144011708,0.02880640660396811,31.830885029009796,0.0,12.778247833251953,0.0009049828987700072,0.0001659618122866276,0.9954673828308008,0.05761281320793622,2.698227882385254,1.0053129207948845
0.0648324338881928,0.02672338785303978,31.843113893945233,0.0,12.778247833251953,0.00083922030810313,0.00014282789166879885,0.9957967555161331,0.05344677570607956,2.7359492778778076,1.004926845614951
0.062432399737923534,0.024790293719190084,31.854462590187076,0.0,12.778247833251953,0.0007782361309346609,0.00012291173253674303,0.9961021954629641,0.049580587438380175,2.7736709117889404,1.0045688232661554
0.06012122687028827,0.022996452194649866,31.864993770335797,0.0,12.778247833251953,0.0007216838754275246,0.0001057673627081633,0.9963854380796113,0.04599290438929973,2.811392307281494,1.0042368195844396
0.057895597058308365,0.021331893743706903,31.874765962959916,0.0,12.778247833251953,0.0006692407959479809,9.100993813856035e-05,0.996648099841262,0.042663787487413805,2.849113941192627,1.0039289398135696
0.05575237120701328,0.01978739163786482,31.883833335798695,0.0,12.778247833251953,0.0006206089283388592,7.830817356604856e-05,0.9968916731047954,0.03957478327572964,2.8868353366851807,1.0036434346829581
0.05368847221648518,0.018354330012034518,31.892246470370164,0.0,12.778247833251953,0.0005755107288878758,6.737628603813422e-05,0.9971175479510597,0.03670866002406904,2.9245569705963135,1.0033786748051738
0.05170098910174984,0.01702473770995887,31.900052163273326,0.0,12.778247833251953,0.0005336899646063754,5.796833881857909e-05,0.9973270077259008,0.03404947541991774,2.962278366088867,1.0031331559025394
0.049787068367863944,0.015791173925992937,31.907294097555795,0.0,12.778247833251953,0.0004949079629789915,4.987223479219186e-05,0.9975212478233336,0.031582347851985874,3.0,1.0029054767903778
